image_name label
cut_RGB_20240914010015.png 13
cut_RGB_20240914005757.png 04
cut_RGB_20240914005443.png 04
cut_RGB_20240914005434.png 13
cut_RGB_20240914004853.png 04
cut_RGB_20240914004825.png 13
cut_RGB_20240914004557.png 13
cut_RGB_20240914004539.png 04
cut_RGB_20240914004356.png 13
cut_RGB_20240914004046.png 04
cut_RGB_20240914003317.png 04
cut_RGB_20240914003258.png 13
cut_RGB_20240914002255.png 13
cut_RGB_20240914001850.png 04
cut_RGB_20240914001408.png 13
cut_RGB_20240914001228.png 25
cut_RGB_20240914001156.png 28
cut_RGB_20240914001137.png 04
cut_RGB_20240914000855.png 28
cut_RGB_20240914000846.png 13
cut_RGB_20240914000837.png 25
cut_RGB_20240914000704.png 25
cut_RGB_20240914000644.png 28
cut_RGB_20240914000503.png 04
cut_RGB_20240914000236.png 28
cut_RGB_20240914000218.png 25
cut_RGB_20240914000114.png 13
cut_RGB_20240719125709.bmp 02
cut_RGB_20240719125420.bmp 02
cut_RGB_20240719124626.bmp 02
cut_RGB_20240719124448.bmp 02
cut_RGB_20240719124407.bmp 02
cut_RGB_20240719124309.bmp 02
cut_RGB_20240719124250.bmp 02
cut_RGB_20240719124137.bmp 02
cut_RGB_20240719123947.bmp 02
cut_RGB_20240719123627.bmp 02
cut_RGB_20240719123547.bmp 02
cut_RGB_20240719123215.bmp 02
cut_RGB_20240719123208.bmp 11
cut_RGB_20240719123121.bmp 07
cut_RGB_20240719122909.bmp 02
cut_RGB_20240719122902.bmp 11
cut_RGB_20240719122805.bmp 07
cut_RGB_20240719122702.bmp 02
cut_RGB_20240719122546.bmp 02
cut_RGB_20240719122300.bmp 02
cut_RGB_20240719122258.bmp 11
cut_RGB_20240719122022.bmp 02
cut_RGB_20240719121911.bmp 02
cut_RGB_20240719121846.bmp 02
cut_RGB_20240719121822.bmp 07
cut_RGB_20240719121739.bmp 02
cut_RGB_20240719121552.bmp 02
cut_RGB_20240719121545.bmp 11
cut_RGB_20240719121422.bmp 02
cut_RGB_20240719121403.bmp 02
cut_RGB_20240719121002.bmp 02
cut_RGB_20240719120933.bmp 02
cut_RGB_20240719120833.bmp 07
cut_RGB_20240719120753.bmp 02
cut_RGB_20240719120537.bmp 02
cut_RGB_20240719120529.bmp 02
cut_RGB_20240719120523.bmp 11
cut_RGB_20240719120449.bmp 11
cut_RGB_20240719120319.bmp 02
cut_RGB_20240719120251.bmp 02
cut_RGB_20240719120151.bmp 02
cut_RGB_20240719120123.bmp 02
cut_RGB_20240719120114.bmp 02
cut_RGB_20240719115950.bmp 02
cut_RGB_20240719115937.bmp 02
cut_RGB_20240719115836.bmp 02
cut_RGB_20240719115724.bmp 02
cut_RGB_20240719115717.bmp 11
cut_RGB_20240719115716.bmp 03
cut_RGB_20240719115707.bmp 03
cut_RGB_20240719115528.bmp 02
cut_RGB_20240719115459.bmp 02
cut_RGB_20240719115451.bmp 03
cut_RGB_20240719115036.bmp 02
cut_RGB_20240719114927.bmp 02
cut_RGB_20240719114835.bmp nan
cut_RGB_20240719114826.bmp 11
cut_RGB_20240719114809.bmp nan
cut_RGB_20240719114805.bmp 02
cut_RGB_20240719114631.bmp 02
cut_RGB_20240719114552.bmp 03
cut_RGB_20240719114524.bmp 02
cut_RGB_20240719114323.bmp 11
cut_RGB_20240719114218.bmp 02
cut_RGB_20240719114142.bmp 03
cut_RGB_20240719114133.bmp nan
cut_RGB_20240719114048.bmp 02
cut_RGB_20240719114017.bmp 11
cut_RGB_20240719113940.bmp 02
cut_RGB_20240719113830.bmp 03
cut_RGB_20240719113639.bmp 02
cut_RGB_20240719113635.bmp 02
cut_RGB_20240719113551.bmp 02
cut_RGB_20240719113454.bmp 11
cut_RGB_20240719113440.bmp 03
cut_RGB_20240719113315.bmp nan
cut_RGB_20240719113230.bmp 02
cut_RGB_20240719113159.bmp 02
cut_RGB_20240719113057.bmp nan
cut_RGB_20240719113041.bmp nan
cut_RGB_20240719113014.bmp 02
cut_RGB_20240719113011.bmp 03
cut_RGB_20240719112947.bmp nan
cut_RGB_20240719112800.bmp 11
cut_RGB_20240719112726.bmp 11
cut_RGB_20240719112717.bmp 02
cut_RGB_20240719112656.bmp nan
cut_RGB_20240719112624.bmp 02
cut_RGB_20240719112353.bmp 02
cut_RGB_20240719112334.bmp 11
cut_RGB_20240719112242.bmp 02
cut_RGB_20240719112209.bmp 03
cut_RGB_20240719112140.bmp 02
cut_RGB_20240719111838.bmp 03
cut_RGB_20240719111804.bmp 02
cut_RGB_20240719111629.bmp 03
cut_RGB_20240719111621.bmp 02
cut_RGB_20240719111610.bmp 02
cut_RGB_20240719111603.bmp 11
cut_RGB_20240719111413.bmp 02
cut_RGB_20240719111406.bmp 11
cut_RGB_20240719111344.bmp nan
cut_RGB_20240719111328.bmp 02
cut_RGB_20240719111324.bmp 03
cut_RGB_20240719111157.bmp 03
cut_RGB_20240719110940.bmp 03
cut_RGB_20240719110851.bmp 03
cut_RGB_20240719110831.bmp 11
cut_RGB_20240719110809.bmp 02
cut_RGB_20240719110807.bmp 11
